datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh
1999-04-02,"""07SA004",4/2/1999,1.77,8.3,-5.2,1.6,16.4,0.0,0.0,0.0,0.0,0.0,,
1999-04-03,"""07SA004",4/3/1999,1.75,-2.0,-15.8,-8.9,26.9,0.0,0.0,2.2,2.2,2.2,,
1999-04-04,"""07SA004",4/4/1999,1.73,-6.9,-17.5,-12.2,30.2,0.0,0.0,0.0,0.0,0.0,,
1999-04-05,"""07SA004",4/5/1999,1.71,-8.1,-13.1,-10.6,28.6,0.0,0.0,0.0,0.0,0.0,,
1999-04-06,"""07SA004",4/6/1999,1.69,-1.0,-21.6,-11.3,29.3,0.0,0.0,0.9,0.9,0.9,,
1999-04-07,"""07SA004",4/7/1999,1.67,-4.4,-22.6,-13.5,31.5,0.0,0.0,0.0,0.0,0.0,,
1999-04-08,"""07SA004",4/8/1999,1.65,-8.3,-26.2,-17.3,35.3,0.0,0.0,1.1,1.1,1.1,,
1999-04-09,"""07SA004",4/9/1999,1.63,-11.0,-26.1,-18.6,36.6,0.0,0.0,0.0,0.0,0.0,,
1999-04-10,"""07SA004",4/10/1999,1.61,-11.1,-23.5,-17.3,35.3,0.0,0.0,1.1,1.1,1.1,,
1999-04-11,"""07SA004",4/11/1999,1.59,-7.0,-30.2,-18.6,36.6,0.0,0.0,1.1,1.1,1.1,,
1999-04-12,"""07SA004",4/12/1999,1.57,1.9,-13.9,-6.0,24.0,0.0,0.0,1.1,1.1,1.1,,
1999-04-13,"""07SA004",4/13/1999,1.53,-3.6,-6.7,-5.2,23.2,0.0,0.0,0.0,0.0,0.0,,
1999-04-14,"""07SA004",4/14/1999,1.51,0.6,-13.1,-6.3,24.3,0.0,0.0,1.1,1.1,1.1,,
1999-04-15,"""07SA004",4/15/1999,1.5,2.4,-21.3,-9.5,27.5,0.0,0.0,0.0,0.0,0.0,,
1999-04-16,"""07SA004",4/16/1999,1.48,-0.9,-4.0,-2.5,20.5,0.0,0.0,1.0,1.0,1.0,,
1999-04-17,"""07SA004",4/17/1999,1.45,5.3,-5.2,0.1,17.9,0.0,0.0,0.0,0.0,0.0,,
1999-04-18,"""07SA004",4/18/1999,1.42,-1.2,-10.8,-6.0,24.0,0.0,0.0,0.0,0.0,0.0,,
1999-04-19,"""07SA004",4/19/1999,1.38,-1.4,-14.5,-8.0,26.0,0.0,0.0,0.0,0.0,0.0,,
1999-04-20,"""07SA004",4/20/1999,1.35,7.6,-18.6,-5.5,23.5,0.0,0.0,1.0,1.0,1.0,,
1999-04-21,"""07SA004",4/21/1999,1.32,8.8,-12.8,-2.0,20.0,0.0,0.0,0.0,0.0,0.0,,
